SCHNAME	N_PUPILS	KS1	KS2	P_SEN
St Michael's Church of England School, Louth	225	14.2	28.6	26
The St Nicholas Church of England Primary School, Boston	240	12.8	27.6	30
St Norbert's Catholic Primary School, Spalding	184	15.6	31.3	12
St Paul's Community Primary and Nursery School, Spalding	242	13.5	26.7	26
The St Peter and St Paul CofE Primary School	222	14.1	26.0	27
The St Sebastian's Church of England Primary School, Great Gonerby	110	14.8	28.3	38
The Saint Thomas' Church of England Primary School, Boston	410	14.3	28.6	18
The Saxilby Church of England Primary School	291	15.1	27.6	24
Scamblesby Church of England Primary School	67	13.5	29.1	25
Scampton Church of England Primary School	85	15.9	29.6	20
Scotter Primary School	268	16.4	29.8	11
Shepeau Stow Primary School	64	15.9	31.8	22
The Sibsey Free Primary School	178	16.3	30.3	24
Sir Francis Hill Community Primary School	435	15.2	30.0	20
Skegness Junior Academy	317	13.6	28.0	42
The Skegness Seathorne Primary School	406	12.8	24.9	35
Skellingthorpe the Holt Primary School	182	15.4	28.6	19
The South Hykeham Community Primary School	138	15.9	29.1	25
South View Community Primary School	343	15.8	28.9	28
South Witham Community Primary School	98	14.9	27.0	33
The Spalding Monkshouse Primary School	366	14.9	28.4	19
The Spalding Parish Church of England Day School	411	16.2	27.7	17
Spalding Primary School	432	15.2	28.2	25
The Spalding St John the Baptist Church of England Primary School	430	16.1	29.0	21
Spilsby Primary School	190	14.2	25.7	28
Stamford St Gilberts Church of England Primary School	320	17.2	29.5	16
Staniland Academy	461	12.2	29.0	49
Stickney Church of England Primary School	176	14.8	28.4	26
Sturton by Stow Primary School	116	14.8	29.1	34
Surfleet Primary School	68	15.3	28.7	25
Sutton Bridge Westmere Community Primary School	210	13.5	26.7	30
Sutton St James Community Primary School	91	15.1	27.7	35
Sutton-on-Sea Community Primary School	168	14.1	28.7	24
Swinderby All Saints Church of England Primary School	93	15.1	29.8	17
Swineshead St Mary's Church of England Primary School	227	16.1	30.1	14
Tattershall Primary School	119	13.0	25.6	45
Tetney Primary School	120	14.8	28.5	23
Theddlethorpe Primary School	73	13.9	26.4	46
Thurlby Community Primary School	200	16.0	29.4	24
The Tydd St Mary Church of England Primary School	100	15.7	30.8	13
The Uffington Church of England Primary School	94	16.7	28.9	17
Waddingham Primary School	71	14.7	29.5	21
Waddington All Saints Primary School	375	15.9	30.3	16
Waddington Redwood Primary School	303	15.0	28.2	14
The Wainfleet Magdalen Church of England/Methodist School	199	14.0	26.8	47
Walcott Primary School	83	14.5	29.0	10
Washingborough Academy	281	15.0	28.9	16
The Welbourn Church of England Primary School	65	17.4	30.2	10
Welton St Mary's Church of England Primary School	376	16.5	30.2	13
The West Grantham Academy Spitalgate	203	14.7	25.3	53
West Grantham Academy The Earl of Dysart	122	14.4	25.2	52
Westgate Academy	408	16.2	28.7	14
Weston Hills CofE Primary School	143	14.5	28.9	25
Weston St Mary Church of England Primary School	57	13.5	25.9	57
Whaplode Church of England Primary School	194	16.0	28.0	23
The White's Wood Lane Community Junior School, Gainsborough	160	14.8	31.0	41
William Alvey School	551	15.7	30.2	19
William Hildyard Church of England Primary and Nursery School	225	15.7	29.8	20
Winchelsea Primary School Ruskington	159	15.5	31.3	24
Witham St Hughs Academy	226	15.3	30.4	17
Wragby Primary School	164	15.0	27.9	42
Wrangle Primary School	61	15.3	27.3	34
Wyberton Primary School	205	14.9	30.6	21
Acle St Edmund Voluntary Controlled Primary School	207	16.1	28.8	30
Alburgh with Denton Church of England Primary School	89	16.3	30.4	13
Aldborough Primary School	141	14.6	29.9	10
All Saints Church of England VA Primary School	194	15.5	27.2	32
All Saints Church of England Voluntary Aided Primary School, Winfarthing	71	15.5	27.4	27
Alpington and Bergh Apton Church of England Voluntary Aided Primary School	95	14.5	29.3	16
Angel Road Junior School	280	15.3	29.1	17
Anthony Curton CofE Primary School	171	15.5	28.1	7
Antingham and Southrepps Community Primary School	106	14.4	25.8	40
Ashill Voluntary Controlled Primary School	101	13.6	26.7	31
Astley Primary School	222	14.7	28.1	15
Attleborough Junior School	350	16.1	28.4	13
Avenue Junior School	414	17.5	30.1	15
Banham Community Primary School	97	16.3	29.4	8
Barford Primary School	80	15.9	28.0	34
Barnham Broom Church of England Voluntary Aided Primary School	114	15.0	29.4	31
The Bawburgh School	105	16.6	27.7	20
Bawdeswell Community Primary School	104	15.1	25.5	43
Beeston Primary School	69	15.8	28.9	13
Bignold Primary School	409	14.9	27.8	15
The Bishops Church of England Voluntary Aided Primary School	312	13.8	25.5	51
Blakeney Church of England Voluntary Aided Primary School	46	12.6	23.9	36
Blenheim Park Primary School	77	14.7	27.2	72
Blofield Primary School	216	16.9	29.2	13
Bluebell Primary School	235	14.2	28.4	23
Bressingham Primary School	85	13.1	26.4	50
Brisley Church of England Voluntary Aided Primary School	77	12.8	28.1	21
Brooke Voluntary Controlled Church of England Primary School	134	16.3	29.7	21
Brundall Primary School	225	14.6	28.1	24
Bunwell Primary School	78	15.2	28.7	25
Bure Valley School	281	16.8	28.7	18
Burnham Market Primary School	123	14.5	26.0	30
Buxton Primary School	136	14.9	29.9	34
Caister Junior School	358	15.2	28.6	22
Cantley Primary School	96	16.3	30.0	33
Carleton Rode Church of England Voluntary Aided Primary School	55	15.8	27.4	38
Catfield Voluntary Controlled CofE Primary School	39	14.8	24.9	14
Catton Grove Primary School	606	12.7	26.2	24
Cavell Primary and Nursery School	258	13.5	27.2	50
Cawston Voluntary Controlled Primary School	163	16.0	28.2	35
Clackclose Community Primary School, Downham Market	337	13.8	25.9	36
Clenchwarton Community Primary School	208	16.2	29.3	16
Cliff Park Junior School	348	15.3	26.8	16
Cobholm Primary School	193	11.4	22.8	54
Colby Primary School	135	16.6	30.4	43
Colkirk Church of England Voluntary Aided Primary School	38	17.9	30.5	0
Colman Junior School	230	15.1	27.4	20
Coltishall Primary School	173	15.5	29.6	32
Corpusty Primary School	100	14.4	26.7	47
Costessey Junior School	242	15.8	30.0	16
Cringleford CE VA Primary School	240	16.4	29.9	12
Cromer Junior School	259	15.6	28.4	11
Denver Voluntary Controlled Primary School	111	15.7	29.5	14
Dereham, St Nicholas Junior School	408	14.9	27.6	19
Dereham, Toftwood Community Junior School	339	16.2	28.3	17
Dersingham St George's CofE Junior School	105	16.2	28.1	23
Diamond Academy	172	14.3	25.3	34
Dickleburgh Voluntary Controlled Primary School	115	18.3	29.9	9
Diss Church Junior School	205	16.4	26.8	24
Docking Primary School	120	15.0	26.3	61
Downham Market, Hillcrest Primary School	404	16.2	29.1	29
Drayton CofE Junior School	324	15.7	28.8	14
Duchy of Lancaster Methwold CofE Primary School	100	13.7	25.1	17
Dussindale Primary School	288	14.7	26.6	40
Earsham Church of England Voluntary Aided First School	105	14.2	26.9	28
East Harling Primary School and Nursery	202	17.2	30.8	10
Eastgate Community Primary School	265	14.1	25.9	37
Eaton Primary School	372	16.0	28.2	20
Edmund de Moundeford VC Primary School, Feltwell	192	14.6	28.8	4
Edward Worlledge Community Junior School	226	14.2	24.9	31
Ellingham Voluntary Controlled Primary School	70	17.7	29.1	10
Emneth Primary School	191	13.7	26.0	37
Erpingham Voluntary Controlled Church of England Primary School	36	14.3	25.3	75
Fairhaven Church of England Voluntary Aided Primary School	107	14.5	30.0	14
Fairstead Community Primary and Nursery School	329	12.9	29.9	23
Fakenham Junior School	280	15.1	27.2	24
Falcon Junior School	297	15.9	28.4	23
Filby Primary School	83	16.9	31.0	9
Firside Junior School	294	17.3	28.6	12
Flitcham Voluntary Aided Church of England Primary School	56	17.9	30.0	10
Forncett St Peter Church of England Voluntary Aided Primary School	95	14.8	26.8	31
Foulsham Primary School	81	16.2	29.4	20
Freethorpe Community Primary School	152	14.9	28.3	57
Frettenham Primary Partnership School	72	15.4	29.0	20
Garboldisham Church Primary School	105	15.8	27.7	39
Gaywood Community Primary School	410	15.7	27.2	15
George White Junior School	187	14.9	26.5	28
Gillingham St Michael's Church of England Primary School	46	14.2	26.4	57
Glebeland Community Primary School	72	16.2	29.3	20
Gooderstone Church of England Voluntary Aided Primary School	74	15.9	28.4	46
Great Dunham Primary School	76	14.2	27.7	18
Great Ellingham Primary School	167	17.1	29.9	0
Great Hockham Primary School	68	13.9	27.8	30
Great Witchingham Church of England Primary School	67	14.2	25.9	43
Great Yarmouth Primary Academy	432	11.5	26.1	25
Gresham Village School	81	12.8	25.7	40
Greyfriars Primary School, King's Lynn	283	13.3	27.5	18
Hainford Primary Partnership School	75	15.5	27.7	8
Happisburgh Primary School	99	17.5	28.8	0
Hapton Church of England Voluntary Controlled Primary School	32	15.4	27.8	33
Harleston CofE VA Primary School	397	14.9	29.1	13
Heacham Junior School	140	15.7	28.5	17
Heartsease Primary School	439	14.9	28.9	26
Hemblington Primary	159	16.6	30.2	12
Hempnall Primary School	89	14.9	28.1	13
Hemsby Primary School	174	15.2	27.2	35
Henderson Green Primary School	131	13.4	25.6	33
Herman Community Primary School	290	13.2	28.2	13
Hethersett VC Junior School	226	16.4	28.8	24
Hevingham Primary School	101	16.2	29.8	38
Hilgay Village Voluntary Controlled Primary School	54	16.3	29.0	0
Hillside Avenue Primary and Nursery School, Thorpe	483	16.9	29.9	23
Hillside Primary School	234	14.9	27.4	30
Hingham Primary School	137	14.4	26.3	30
Hockering Church of England Voluntary Controlled Primary School	48	12.1	24.8	38
Holly Meadows School	155	15.5	27.6	24
Holt Community Primary School	184	14.3	27.5	23
Homefield VC CofE Primary School	248	14.4	28.2	29
Hopton Church of England Primary School	190	16.2	27.5	32
Horning Community Primary School	53	11.8	22.5	58
Horsford Church of England Junior School	203	16.0	26.8	7
The Howard Junior School, King's Lynn	145	13.8	28.6	22
Ingoldisthorpe Church of England Voluntary Aided Primary School	97	14.7	29.6	18
The James Bradfield Church of England Community Primary School	80	14.2	29.0	25
Kenninghall Community Primary School	107	14.7	28.2	40
Kinsale Junior School	188	16.8	28.4	10
Lakenham Primary School	329	12.6	27.3	36
Langham Village School	86	16.5	29.8	29
Larkman Primary School	336	12.0	23.3	47
Lingwood Primary and Nursery School	197	17.0	28.0	43
Lionwood Junior School	173	13.4	26.7	38
Litcham School	630	15.3	26.0	32
Little Melton Primary School	98	14.6	26.2	33
Little Plumstead Church of England Primary School	199	16.8	29.4	12
Loddon Junior School	190	15.6	28.8	24
Ludham Primary School and Nursery	109	16.3	27.6	33
Lyng Church of England Primary School	86	16.5	28.7	0
Magdalen Gates Primary School	199	15.3	27.6	19
Magdalen Village School	48	14.4	26.3	17
Marham Junior School	140	15.2	26.5	25
Marshland St James VC Primary School and Nursery	107	13.7	26.5	17
Martham Foundation Primary School and Nursery	359	14.3	26.8	37
Mattishall Primary School	205	15.0	27.2	25
Middleton Voluntary Controlled Primary School	110	14.5	25.9	28
Mile Cross Primary School	452	11.8	26.0	49
Millfield Primary School	280	15.4	27.8	31
Moorlands CofE Voluntary Controlled Primary School	327	15.0	27.6	13
Morley Church of England Primary School	104	14.6	29.2	11
Mulbarton Junior School	169	16.6	29.5	11
Mundesley Junior School	141	15.3	28.1	43
Mundford Church of England Primary School	151	16.3	28.8	21
Narborough Church of England Voluntary Controlled Primary School	89	13.9	25.1	41
Necton VA Primary School	173	15.1	27.4	29
Newton Flotman Church of England Voluntary Controlled Primary School	132	15.6	30.0	25
The Norman Church of England Primary School, Northwold	90	14.5	25.4	30
North Denes Junior School	211	14.7	27.0	21
North Elmham Voluntary Controlled Primary School	117	15.9	28.5	37
North Walsham Junior School	259	16.2	28.1	40
North Wootton Community School	308	16.0	28.6	16
Norwich Road Community Primary School	443	13.1	25.3	20
Old Buckenham Community Primary School	199	15.2	27.6	22
Old Catton CofE VC Junior School	151	16.6	28.7	17
Ormesby Village Junior School	174	16.3	29.3	17
Overstrand, the Belfry, Church of England Voluntary Aided Primary School	115	14.4	28.3	11
Parker's Church of England Primary School	106	17.0	29.9	21
Peterhouse Primary School	306	13.6	28.4	14
Poringland Primary School	283	16.4	29.3	14
Preston Church of England Voluntary Controlled Primary School	97	14.6	27.1	34
Pulham Church of England Primary School	136	16.0	28.8	44
Queen's Hill Primary School	333	13.5	25.2	33
Rackheath Primary School	161	15.7	29.4	4
Redcastle Family School	211	14.6	29.0	45
Redgate Junior School	105	14.4	27.9	27
Reepham Primary School	216	16.9	29.5	23
Reffley Community School	425	15.1	28.9	12
Robert Kett Junior School	596	16.5	29.0	11
Rollesby Primary School	127	15.0	25.2	30
Roydon Primary School	270	15.3	27.0	56
Rudham CofE Primary School	72	15.9	27.9	28
Runcton Holme Church of England Primary School	58	15.1	27.5	22
St Andrew's Church of England Primary School	49	12.5	22.4	31
St Andrew's CofE VA Primary School, Lopham	52	16.7	31.5	29
St Augustine's Catholic Primary School, Costessey	242	14.5	30.1	18
St Edmund's Community Foundation School	190	12.4	24.0	44
St Faith's CofE Primary School	89	15.8	29.3	24
St Germans Primary School	94	15.3	28.1	16
St John's Community Primary School and Nursery	233	15.4	28.3	23
St Martha's Catholic Primary School, Kings Lynn	210	16.7	30.2	13
St Martin at Shouldham Church of England Voluntary Aided Primary School	171	15.1	30.6	6
St Mary's Catholic Primary & Nursery School	217	14.8	27.4	28
St Mary's Church of England Junior School	210	16.1	29.3	16
St Mary's Community Primary School, Beetley	173	16.3	28.6	24
St Michael's CofE Primary School, Kings Lynn	190	12.2	26.5	42
St Michael's VA Junior School	264	15.4	28.2	36
St Nicholas Priory CofE VA Junior School	379	14.4	27.9	11
St Peter and St Paul Church of England Voluntary Controlled Primary School	166	13.0	25.1	39
St Peter's CofE VC Primary School, Easton	116	15.5	27.8	20
St Thomas More Roman Catholic Junior School	326	16.2	29.2	30
St William's Primary School	414	16.3	28.6	14
Salhouse Voluntary Controlled Primary School	102	16.0	28.7	22
Sandringham and West Newton Church of England Primary School	79	15.6	26.6	25
Saxlingham Nethergate CofE VC Primary School	47	19.5	33.6	0
Scarning Voluntary Controlled Primary School	253	15.1	27.8	26
Scole Church of England Voluntary Controlled Primary School	91	15.3	27.6	31
Sculthorpe Church of England Primary School	68	16.1	28.3	29
Seething and Mundham Primary School	87	16.6	29.6	25
Sheringham Community Primary School	604	15.1	28.7	20
Snettisham Primary School	114	17.4	29.6	15
South Wootton Junior School	229	16.5	28.0	15
Southery Primary School	89	13.5	26.0	36
Spooner Row Primary School, Wymondham	94	17.2	31.2	9
Sporle Voluntary Controlled Primary School	66	11.9	24.1	36
Sprowston Junior School	210	16.8	28.8	16
Stalham Junior School	234	15.8	27.2	12
Stoke Holy Cross Primary School	194	16.5	31.0	0
Stradbroke Primary School	200	14.3	26.4	48
Surlingham Community Primary School	94	17.3	28.3	23
Swaffham CofE VC Junior School	186	15.3	27.2	26
Swanton Morley Primary School	167	16.4	30.0	26
Tacolneston Church of England Primary	85	18.3	28.9	0
Taverham Junior School	434	17.0	29.6	21
Terrington St Clement Community School	296	14.6	24.9	34
Terrington St John Primary School	48	15.0	24.3	33
Thomas Bullock Primary School	171	13.6	26.4	26
Thompson Primary School	84	16.0	28.5	50
Thurlton Primary School	100	14.8	28.6	49
Thurton Primary School	92	16.4	29.3	42
Trowse Primary School	104	16.5	30.9	7
Tuckswood Community Primary School	228	12.8	24.2	39
Tunstead Primary School	100	15.4	30.4	13
Upwell Community Primary School	138	14.1	25.8	18
Valley Primary School	191	13.4	26.5	36
Walpole Cross Keys Primary School	56	12.3	24.2	55
Walpole Highway Primary School	48	12.6	26.3	33
Walsingham Community Primary School	42	11.8	25.3	34
Watlington Community Primary School	169	15.8	27.6	17
Watton Junior School	203	17.1	26.0	21
Weasenham Church of England Primary School	39	14.1	27.2	14
Weeting Voluntary Controlled Primary School	165	15.4	27.5	17
Wells-next-the-Sea Primary and Nursery School	153	15.2	26.6	28
Wensum Junior School	127	15.0	27.1	39
West Earlham Junior School	210	14.1	26.0	26
West Lynn Primary School, King's Lynn	126	14.1	24.1	44
West Raynham Church of England Primary School	59	14.7	25.7	22
West Walton Community Primary School	238	13.6	28.3	26
West Winch Primary School	193	15.5	30.6	27
White Woman Lane Junior School	270	16.4	30.0	15
Whitefriars Church of England Primary School	360	15.4	28.7	43
Wicklewood Primary School	179	15.2	29.1	20
William Marshall Church of England Primary School, Welney	27	13.4	25.3	33
Wimbotsham and Stow Community School	94	15.7	28.5	7
Winterton Primary School	82	15.4	29.7	22
Woodland View Junior School	143	15.9	29.1	10
Woodlands School, Bradwell	381	15.5	27.8	20
Woodton Primary School	38	13.3	23.3	84
Worstead Church of England Primary School	104	15.5	29.2	6
Wreningham VC Primary School	86	16.9	32.0	0
Wroughton Junior School	327	13.8	26.5	29
Yaxham Church of England Voluntary Aided Primary School	76	10.9	23.1	51
The Abbey Primary School	275	14.2	27.8	17
Abington Vale Primary School	269	16.7	28.4	6
Alfred Street Junior School, Rushden	157	16.8	27.3	7
All Saints CofE VA Primary School	389	15.2	27.6	32
All Saints VA Primary School and Nursery	256	16.5	29.4	0
Ashby Fields Primary School	414	15.2	27.4	14
Badby School	123	14.2	27.8	16
Barby Church of England Primary School	80	15.8	29.1	30
Barry Primary School	466	14.6	27.7	24
Barton Seagrave Primary School	415	16.4	29.7	12
Beanfield Primary School	503	14.3	23.7	52
Blakesley Church of England Primary School	81	14.8	26.6	18
The Bliss Charity School	173	16.9	30.8	26
Blisworth Community Primary School	208	17.5	29.0	23
Boddington Church of England Voluntary School	71	18.8	29.7	0
Boothville Primary School	539	16.8	29.8	10
Boughton Primary School	139	18.6	32.3	0
Bozeat Community Primary School	108	16.6	30.3	0
Bracken Leas Primary School	413	16.4	28.8	8
Brackley Church of England Junior School	213	16.4	28.2	12
Brambleside Community Primary School	327	16.4	29.4	11
Braunston Church of England Primary School	204	17.1	28.2	3
Bridgewater Primary School	445	16.2	29.2	4
Brigstock Latham's Church of England Primary School	110	17.0	32.0	12
Brington Primary School	54	18.0	29.3	0
Brixworth CofE VC Primary School	454	16.0	29.4	19
Broughton Primary School	202	14.4	29.5	30
Bugbrooke Community Primary School	274	15.7	27.4	11
Byfield School	82	15.5	28.3	14
Castle Primary School	454	12.1	26.3	21
Cedar Road Primary School	418	15.2	27.9	18
Chacombe Church of England Voluntary Aided Academy	97	15.4	28.4	31
Chiltern Primary School	208	15.2	27.7	30
Chipping Warden Primary Academy	61	17.2	28.1	0
Clipston Endowed Voluntary Controlled Primary School	119	16.8	29.8	6
Cogenhoe Primary School	158	17.7	30.5	0
Collingtree Church of England Primary School	176	16.0	29.9	0
Corby Kingswood Primary School	236	14.8	26.4	16
Corby Old Village Primary School	144	16.4	27.1	28
Cosgrove Village Primary School	56	15.2	27.0	45
Cottingham Church of England School	117	16.7	29.2	15
Cranford Church of England Primary School	98	14.4	27.4	14
Crick Primary School	132	16.9	31.7	5
Croughton All Saints CofE Primary School	80	15.4	30.4	0
Croyland Primary School	376	14.3	27.0	20
Culworth Church of England School	113	18.2	30.5	22
Danesholme Junior School	362	16.8	28.2	7
Daventry Abbey Junior School	194	15.8	27.0	6
Deanshanger Primary School	390	16.0	28.8	17
Delapre Primary School	448	15.2	28.1	3
Denfield Park Primary School	504	15.9	28.7	18
Denton Primary School	105	14.9	28.0	51
Diamond Learning Community	526	15.2	25.3	29
Duston Eldean Primary School	374	15.8	29.2	9
Earl Spencer Primary School	233	12.9	25.9	45
Earls Barton Junior School	276	16.5	28.7	8
East Haddon Church of England Primary School	83	16.1	30.2	20
East Hunsbury Primary School	457	14.2	26.9	33
Ecton Brook Primary School	523	13.8	28.7	12
Falconer's Hill Community Junior School	227	15.9	25.3	16
Farthinghoe Primary School	35	18.0	33.2	11
Finedon Mulso Church of England Junior School	149	15.2	29.3	22
Flore Church of England Primary School	109	16.1	27.8	14
Freemans Endowed Church of England Junior School	239	15.7	28.4	19
Gayton Church of England Primary School	50	16.5	29.3	17
Geddington Church of England Primary School	198	16.3	28.9	4
The Good Shepherd Catholic Primary School	367	15.7	26.5	16
Grange Community School	214	13.4	27.7	24
The Grange School, Daventry	476	14.5	28.5	18
Great Addington Church of England Primary School	99	16.7	31.7	11
Great Creaton Primary School	77	17.1	28.6	0
Great Doddington Primary	132	15.3	28.7	23
Greatworth Primary School	78	17.1	28.7	14
Green Oaks Primary School	260	12.1	24.8	44
Greenfields Community Primary School	168	12.7	25.9	33
Greens Norton Church of England Primary School	92	15.6	27.8	7
Grendon Church of England Primary School	102	17.3	31.7	10
Gretton Primary School	119	16.6	30.7	9
Guilsborough Church of England (Aided) Primary School	152	16.5	29.8	0
Hackleton CofE Primary School	198	17.3	32.3	28
Hall Meadow Primary School	212	16.6	31.5	19
Hardingstone Primary School	187	16.6	29.3	27
Harpole Primary School	205	16.6	30.3	7
Hartwell Primary School	194	16.9	30.9	26
Havelock Junior School	312	16.1	28.9	3
Hawthorn Community Primary School	312	15.1	28.5	0
Hazel Leys Nursery and Primary School	283	14.1	27.2	4
Headlands Primary School	470	14.4	27.0	25
Helmdon Primary School	121	15.7	30.5	18
Henry Chichele Primary School	199	16.4	29.6	20
Higham Ferrers Junior School	337	16.2	28.7	1
Hopping Hill Primary School	421	14.4	28.8	20
Hunsbury Park Primary School	216	12.7	26.8	15
Irchester Community Primary School	343	16.2	28.7	14
Irthlingborough Junior School	378	16.1	27.2	36
Isham Church of England Primary School	105	17.2	30.5	7
John Hellins Primary School	124	17.4	32.8	0
Kilsby Church of England Primary School	89	16.5	28.9	9
The King John School	401	16.0	28.4	11
Kings Heath Primary School	346	14.2	25.2	17
Kings Sutton Primary School	173	16.0	28.7	23
Kingsley Primary School	232	14.7	28.1	10
Kingsthorpe Grove Primary School	476	14.4	26.3	13
Kingsthorpe Village Primary School	207	16.1	28.0	16
Kislingbury Primary School	130	14.7	28.7	7
Lings Primary School	204	12.5	26.7	44
Little Harrowden Community Primary School	203	15.3	29.4	17
Little Houghton Church of England Primary	94	16.3	30.0	10
Loatlands Primary School	281	16.0	27.6	24
Loddington Church of England Primary School	81	15.0	27.5	16
Long Buckby Junior School	139	14.6	27.6	23
Lyncrest Primary School	254	14.0	28.2	12
Maidwell Primary School	61	16.7	27.3	17
Mawsley Primary School	347	16.7	29.9	10
Meadowside Primary School	399	16.4	28.4	8
Mears Ashby Church of England Endowed School	82	16.6	29.8	14
Middleton Cheney Community Primary School	349	15.4	28.4	22
Millbrook Junior School	469	16.8	28.0	12
Millway Primary School	391	16.8	29.7	12
Milton Parochial Primary School	97	17.0	30.9	0
Moulton Primary School	426	16.0	28.9	10
Naseby Church of England Primary School	59	17.1	31.2	0
Newbottle and Charlton Church of England Primary School	102	16.1	29.5	36
Newnham Primary School	86	16.2	28.5	27
Newton Road Community Primary School	258	14.8	25.8	26
Nicholas Hawksmoor Primary School	504	17.6	30.6	12
Oakley Vale Primary School	360	14.7	27.4	28
Old Stratford Primary School	202	16.9	30.0	4
Olympic Primary School	347	13.7	25.6	18
Oundle and King's Cliffe Middle School	591	16.2	28.3	36
Our Lady of Walsingham Catholic Primary School	225	14.1	27.9	24
Our Lady's Catholic Junior School	229	16.0	27.5	17
Overstone Primary School	101	15.5	29.1	14
Park Junior School, Kettering	357	16.3	28.0	11
Park Junior School, Wellingborough	242	14.6	27.4	18
Parklands Primary School	412	15.4	27.2	26
Pattishall Church of England Primary School	160	15.7	27.5	9
Paulerspury Church of England Primary School	115	17.7	29.1	25
Pitsford Primary School	60	17.6	28.5	50
Preston Hedges Primary School	419	17.0	30.5	5
Pytchley Endowed Church of England Primary School	102	13.9	26.2	31
Queen Eleanor Primary School	243	14.8	26.9	27
Rectory Farm Primary School	206	14.3	26.1	56
Redwell Junior School	243	17.2	29.7	22
Ringstead Church of England Primary School	90	11.9	25.6	58
Roade Primary School	184	16.9	29.9	8
Rockingham Primary School	269	14.8	25.2	44
Rothersthorpe Church of England Primary School	91	15.4	28.9	24
Rothwell Junior School	341	15.8	27.8	13
Rushton Primary School	91	18.5	28.2	18
St Andrew's Church of England Primary School	280	14.2	28.0	44
St Andrew's CofE VA Primary School	218	13.4	27.1	12
St Brendan's Catholic Primary School	308	17.2	27.7	25
St Edward's Catholic Primary School	214	17.0	28.5	15
St Gregory's Catholic Primary School	414	14.8	27.7	11
St James CofE VA Primary School	413	13.1	26.1	34
St Loys Church of England Primary Academy, Weedon Lois	102	16.5	30.2	13
St Luke's Church of England VA Primary School	335	16.1	28.3	16
St Mary's Catholic Primary School	174	14.0	28.2	11
St Mary's Catholic Primary School, Aston-le-Walls	105	17.5	30.1	19
St Mary's Church of England Primary School, Burton Latimer	196	14.4	26.4	13
St Mary's Church of England Voluntary Aided Primary School	258	13.5	27.4	9
St Patrick's Catholic Primary School, Corby	250	16.2	26.9	30
St Peter's Church of England Junior School	149	16.2	29.0	15
St Thomas More Catholic Primary School	208	17.7	29.8	13
Silverstone Church of England Junior School	110	17.0	31.0	8
Simon de Senlis Primary School	389	15.7	28.9	35
South End Junior School	355	16.7	28.7	26
Southfield Primary School	306	15.6	28.1	27
Standens Barn Primary School	314	14.5	28.8	6
Stanion Church of England (Aided) Primary School	102	17.8	30.6	0
Stanwick Primary School	207	16.1	27.5	36
Staverton Church of England Voluntary Primary School	90	15.5	27.8	30
Stimpson Avenue Primary School	479	15.1	27.4	22
Stoke Bruerne Church of England Primary School	41	14.9	28.1	9
Studfall Junior School	433	15.5	27.5	21
Sunnyside Primary School	218	14.2	27.8	15
Syresham St James CofE Primary School	64	16.4	29.6	0
Sywell Church of England Voluntary Aided Primary School	100	16.6	28.2	14
Thorplands Primary School	204	13.8	25.6	20
Towcester Church of England Primary School	213	14.4	29.5	26
Upton Meadows Primary School	300	15.0	28.0	40
Vernon Terrace Primary School	249	11.4	27.0	24
Victoria Primary School	325	14.4	25.3	38
Walgrave Primary School	153	16.7	30.7	14
Weedon Bec Primary School	187	15.6	29.5	18
Weldon Church of England Primary School	204	16.6	27.5	20
Welford Sibbertoft and Sulby Endowed School	91	16.1	29.4	20
Welton Church of England Primary School	134	15.9	29.2	17
West Haddon Endowed Church of England Primary School	198	16.5	30.6	29
Weston Favell CofE VA Primary School	368	15.4	29.7	16
Whitefriars Junior School	237	16.3	28.0	25
Whitehills Primary School	407	15.8	30.0	12
Whittlebury Church of England Primary School	53	14.0	26.8	50
Wilbarston Church of England Primary School	136	16.5	28.7	7
Wilby Church of England Primary School	87	14.0	26.6	0
Windmill Primary School	255	14.7	27.5	11
Wollaston Community Primary School	283	15.2	28.2	24
Woodford Church of England Primary School	58	15.1	27.8	0
Woodford Halse Church of England School	284	15.1	27.2	20
Woodland View Primary School	442	16.3	30.8	20
Woodnewton- A Learning Community	859	15.1	28.5	17
Woodvale Primary School	460	14.0	26.2	16
Wootton Primary School	414	16.7	29.9	13
Yardley Gobion Church of England Primary School	108	16.8	31.5	10
Yardley Hastings Primary School	112	16.5	29.8	13
Yelvertoft Primary School	92	15.3	29.8	16
Allendale Middle School	101	16.1	28.2	27
Alnwick Lindisfarne Middle School	400	16.9	28.9	16
Alnwick the Dukes Middle School	196	15.9	28.1	24
Ashington Hirst Park Middle School	370	15.9	28.7	38
Beaconhill Community Primary School	227	13.6	26.9	12
Bedlington Station Primary School	237	14.9	26.0	47
Bellingham Middle School and Sports College	121	16.5	28.0	21
Berwick Middle School	335	16.7	28.6	21
Bothal Middle School	430	15.6	28.7	23
Burnside Primary School	410	17.0	29.9	15
Corbridge Middle School	341	17.4	29.0	10
Cragside CofE Controlled Primary School	354	16.1	29.2	16
Cramlington Eastlea Primary School	196	15.9	30.8	45
Cramlington Northburn Primary School	362	17.3	30.3	26
Cramlington Shanklea Primary School	367	16.4	28.2	16
Croftway Primary School	466	14.8	27.7	17
Dr Thomlinson Church of England Middle School	194	16.0	29.1	18
Glendale Middle School	134	16.1	29.7	19
Guide Post Middle School	311	15.7	26.9	7
Haltwhistle Community Campus Upper School	225	16.2	28.0	36
Hareside Primary School	499	17.6	29.3	19
Hexham Middle School	471	17.8	29.4	5
